sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
龍潭,桃園市,44,,良好,1.3,0.37,32,12,34,10,15,20.7,5,1.3,3,"2026/05/12 10:00:00",0.3,10.9,25,0,121.21645772,24.86400048,21
湖口,新竹縣,27,,良好,0.8,0.21,40,29,8,4,7,8.4,1.4,1.8,64,"2026/05/12 10:00:00",0.2,4.2,12,1,121.03886894,24.90009696,22
竹東,新竹縣,37,,良好,1.9,0.3,28,8,18,9,10,12.9,2.7,1.3,123,"2026/05/12 10:00:00",0.2,9.2,19,1,121.08895493,24.74091408,23
新竹,新竹市,30,,良好,1.2,0.28,37,19,18,4,12,14.7,2.6,1.1,24,"2026/05/12 10:00:00",0.3,5.9,18,1,120.97236752,24.8056356,24
頭份,苗栗縣,42,,良好,2.1,0.33,34,10,22,4,13,18.7,5.5,1,169,"2026/05/12 10:00:00",0.3,9,25,2,120.89869286,24.69690679,25
苗栗,苗栗縣,51,細懸浮微粒,普通,2.6,0.32,35,8,21,11,12,16.6,4.4,2,10,"2026/05/12 10:00:00",0.3,12.6,21,1,120.82011468,24.56499183,26
三義,苗栗縣,38,,良好,1.1,0.32,36,15,20,10,6,7.8,1.5,2.5,17,"2026/05/12 10:00:00",0.2,9.4,20,0,120.75956754,24.38248443,27
豐原,臺中市,66,細懸浮微粒,普通,2,0.36,39,13,37,17,13,18,4.5,1.9,269,"2026/05/12 10:00:00",0.3,17.9,30,1,120.74252414,24.25699731,28
沙鹿,臺中市,58,細懸浮微粒,普通,1.9,0.31,40,19,28,13,10,13,2.2,2.5,347,"2026/05/12 10:00:00",0.3,15.2,31,0,120.568794,24.225628,29
大里,臺中市,70,細懸浮微粒,普通,1.6,0.5,41,18,55,25,18,20.8,2.2,2.1,273,"2026/05/12 10:00:00",0.3,19.4,39,1,120.67844444,24.09961111,30
忠明,臺中市,63,細懸浮微粒,普通,2.6,0.43,37,18,26,17,15,20.6,5,1.4,50,"2026/05/12 10:00:00",0.3,16.8,26,1,120.641092,24.151958,31
西屯,臺中市,56,細懸浮微粒,普通,2,0.35,36,16,34,15,15,20.8,5.3,1.5,92,"2026/05/12 10:00:00",0.3,14.3,31,1,120.616917,24.162197,32
彰化,彰化縣,69,細懸浮微粒,普通,0.9,0.34,40,23,24,19,13,17,3.4,2,347,"2026/05/12 10:00:00",0.3,19,26,1,120.541519,24.066,33
線西,彰化縣,46,,良好,3.5,0.35,40,25,23,10,11,14,2.7,3.4,1,"2026/05/12 10:00:00",0.3,11.3,26,1,120.469061,24.131672,34
二林,彰化縣,71,細懸浮微粒,普通,3.3,0.35,41,27,39,23,10,12.7,2.6,2.3,8,"2026/05/12 10:00:00",0.3,19.8,41,1,120.409653,23.925175,35
南投,南投縣,73,細懸浮微粒,普通,1.4,0.34,53,20,33,21,7,8.6,1.4,1.1,15,"2026/05/12 10:00:00",0.3,20.7,36,1,120.685306,23.913,36
斗六,雲林縣,89,細懸浮微粒,普通,1.5,0.3,55,33,42,27,5,6.4,1,1.2,333,"2026/05/12 10:00:00",0.2,26.3,46,1,120.544994,23.711853,37
崙背,雲林縣,73,細懸浮微粒,普通,1.9,0.32,48,30,43,27,5,6.7,1,1.5,315,"2026/05/12 10:00:00",0.2,20.5,41,0,120.348742,23.757547,38
新港,嘉義縣,66,細懸浮微粒,普通,3.4,0.31,55,36,40,28,5,7.7,1.9,2.2,266,"2026/05/12 10:00:00",0.2,18,33,1,120.345531,23.554839,39
朴子,嘉義縣,50,,良好,2.2,0.25,52,35,31,17,5,6.4,1.2,1.9,327,"2026/05/12 10:00:00",0.2,12.4,26,1,120.2478,23.46538,40
臺西,雲林縣,44,,良好,2.1,0.25,54,41,20,8,6,7.5,1.1,3.4,350,"2026/05/12 10:00:00",0.2,10.8,21,1,120.19933333,23.702175,41
嘉義,嘉義市,70,細懸浮微粒,普通,1.9,0.34,44,30,42,23,7,8.7,1.2,1.4,66,"2026/05/12 10:00:00",0.2,19.6,38,1,120.44125148,23.46477865,42
新營,臺南市,64,細懸浮微粒,普通,2,0.4,41,32,53,34,9,12.2,2.7,2,350,"2026/05/12 10:00:00",0.2,17.3,31,0,120.31725,23.305633,43
善化,臺南市,65,細懸浮微粒,普通,1.1,0.25,48,33,40,24,5,6.5,1.3,3.7,8,"2026/05/12 10:00:00",0.2,17.5,31,0,120.29740529,23.11337642,44
安南,臺南市,57,細懸浮微粒,普通,2.2,0.25,50,37,35,20,4,5.5,0.8,3,321,"2026/05/12 10:00:00",0.2,14.8,28,1,120.2175,23.048197,45
臺南,臺南市,59,細懸浮微粒,普通,0.8,0.22,50,38,33,16,5,6.3,0.7,3,338,"2026/05/12 10:00:00",0.2,15.4,27,1,120.21947897,22.98928311,46
美濃,高雄市,48,,良好,0.6,0.23,46,26,24,13,3,3.8,0.6,1.6,308,"2026/05/12 10:00:00",0.2,11.8,23,0,120.530542,22.883583,47
橋頭,高雄市,76,細懸浮微粒,普通,1,0.26,46,29,34,20,10,13.7,2.8,2.7,1,"2026/05/12 10:00:00",0.2,21.8,36,1,120.305689,22.757506,48
仁武,高雄市,71,細懸浮微粒,普通,1.2,0.36,50,31,38,20,11,13.8,2.3,2.9,351,"2026/05/12 10:00:00",0.3,19.9,37,1,120.332631,22.689056,49
鳳山,高雄市,70,細懸浮微粒,普通,1.3,0.47,47,29,39,22,14,17.1,2.3,1.5,278,"2026/05/12 10:00:00",0.3,19.3,37,1,120.357422,22.628126,50
大寮,高雄市,77,細懸浮微粒,普通,0.9,0.25,53,29,43,21,8,9.6,1.2,2,0,"2026/05/12 10:00:00",0.2,22.1,40,0,120.425311,22.56413611,51
林園,高雄市,66,細懸浮微粒,普通,1.5,0.28,49,27,44,19,9,11.1,2,3.4,277,"2026/05/12 10:00:00",0.2,18,40,1,120.41175,22.4795,52
楠梓,高雄市,72,細懸浮微粒,普通,1.2,0.28,47,29,46,21,11,14.7,3.2,1.6,326,"2026/05/12 10:00:00",0.2,20,39,1,120.328289,22.733667,53
